Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
storqosflt,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\drivers\storqosflt.sys,-102",None,"@%SystemRoot%\System32\drivers\storqosflt.sys,-101",Automatic,FileSystemDriver,2018-04-11 23:38:44.4872494,,FSFilter Quota Management,system32\drivers\storqosflt.sys,,
StorSvc,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\StorSvc.dll,-101",None,"@%SystemRoot%\System32\StorSvc.dll,-100",Manual,Win32ShareProcess,2018-04-11 23:39:26.3188349,2018-04-11 23:38:44.4872494,,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeLoadDriverPrivilege SeBackupPrivilege SeRestorePrivilege SeSystemEnvironmentPrivilege
storufs,ROOT\ControlSet001\Services,,None,"@storufs.inf,%UfsServiceDesc%;Microsoft Universal Flash Storage (UFS) Driver",Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:10.9375924,,System32\drivers\storufs.sys,,
storvsc,ROOT\ControlSet001\Services,,None,,Boot,KernelDriver,2018-04-25 19:59:00.5845675,2018-04-11 23:38:13.5003073,Base,System32\drivers\storvsc.sys,,
svsvc,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\svsvc.dll,-102",None,"@%SystemRoot%\system32\svsvc.dll,-101",Manual,Win32ShareProcess,2018-04-11 23:39:26.3188349,2018-04-11 23:38:44.4872494,,%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeManageVolumePrivilege
swenum,ROOT\ControlSet001\Services,,None,"@swenum.inf,%SWENUM.SVCDESC%;Software Bus Driver",Manual,KernelDriver,2019-02-15 13:45:03.7492320,,Extended Base,\SystemRoot\System32\DriverStore\FileRepository\swenum.inf_amd64_ea7b19c04e7a8136\swenum.sys,,
swprv,ROOT\ControlSet001\Services,"@%SystemRoot%\System32\swprv.dll,-102",None,"@%SystemRoot%\System32\swprv.dll,-103",Manual,Win32OwnProcess,2018-04-11 23:38:44.4716235,2018-04-11 23:38:44.4716235,,%SystemRoot%\System32\svchost.exe -k swprv,,SeBackupPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeCreatePermanentPrivilege SeImpersonatePrivilege SeManageVolumePrivilege SeRestorePrivilege SeIncreaseBasePriorityPrivilege SeManageVolumePrivilege SeRestorePrivilege SeTcbPrivilege
Synth3dVsc,ROOT\ControlSet001\Services,,None,,Manual,KernelDriver,2018-04-11 23:38:13.7190747,,Video Init,\SystemRoot\System32\drivers\Synth3dVsc.sys,,
SysMain,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\sysmain.dll,-1001",None,"@%SystemRoot%\system32\sysmain.dll,-1000",Automatic,Win32ShareProcess,2018-04-11 23:38:44.4716235,2018-04-11 23:38:44.4716235,profsvc_group,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeTcbPrivilege SeProfileSingleProcessPrivilege SeTakeOwnershipPrivilege SeDebugPrivilege SeIncreaseBasePriorityPrivilege
SystemEventsBroker,ROOT\ControlSet001\Services,"@%windir%\system32\SystemEventsBrokerServer.dll,-1002",None,"@%windir%\system32\SystemEventsBrokerServer.dll,-1001",Automatic,Win32ShareProcess,2018-04-11 23:39:26.3188349,2018-04-11 23:38:44.4716235,,%SystemRoot%\system32\svchost.exe -k DcomLaunch -p,,SeCreateGlobalPrivilege SeImpersonatePrivilege SeTcbPrivilege SeCreatePermanentPrivilege
TabletInputService,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\TabSvc.dll,-101",None,"@%SystemRoot%\system32\TabSvc.dll,-100",Manual,Win32ShareProcess,2018-04-11 23:39:26.3188349,2018-04-11 23:38:44.4716235,PlugPlay,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeTcbPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeAssignPrimaryTokenPrivilege SeCreateGlobalPrivilege
TapiSrv,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\tapisrv.dll,-10101",None,"@%SystemRoot%\system32\tapisrv.dll,-10100",Manual,Win32ShareProcess,2018-04-11 23:38:44.4716235,2018-04-11 23:38:44.4716235,,%SystemRoot%\System32\svchost.exe -k NetworkService -p,,SeAuditPrivilege SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeAssignPrimaryTokenPrivilege
Tcpip,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\tcpipcfg.dll,-50003",None,"@%SystemRoot%\system32\drivers\tcpip.sys,-10001",Boot,KernelDriver,2018-04-25 19:59:00.3808252,2019-02-15 03:47:04.9280916,PNP_TDI,System32\drivers\tcpip.sys,,
Tcpip6,ROOT\ControlSet001\Services,"@todo.dll,-100;Microsoft IPv6 Protocol Driver",None,"@todo.dll,-100;Microsoft IPv6 Protocol Driver",Manual,KernelDriver,2018-04-25 19:59:00.3808252,2019-02-15 03:47:03.8813083,,System32\drivers\tcpip.sys,,
TCPIP6TUNNEL,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-25 19:59:00.3808252,,,,,
tcpipreg,ROOT\ControlSet001\Services,"Provides compatibility for legacy applications which interact with TCP/IP through the registry. If this service is stopped, certain applications may have impaired functionality.",None,TCP/IP Registry Compatibility,Automatic,KernelDriver,2018-04-11 23:38:44.4716235,,,System32\drivers\tcpipreg.sys,,
TCPIPTUNNEL,ROOT\ControlSet001\Services,,None,,Disabled,Adapter,2018-04-25 19:59:00.3808252,,,,,
tdx,ROOT\ControlSet001\Services,"@%SystemRoot%\system32\tcpipcfg.dll,-50004",None,"@%SystemRoot%\system32\tcpipcfg.dll,-50004",System,KernelDriver,2018-04-11 23:38:44.4716235,,PNP_TDI,\SystemRoot\system32\DRIVERS\tdx.sys,,
terminpt,ROOT\ControlSet001\Services,,None,"@termmou.inf,%TermInpt.SVCDESC%;Microsoft Remote Desktop Input Driver",Manual,KernelDriver,2018-04-12 09:20:00.7434707,,Extended Base,\SystemRoot\System32\drivers\terminpt.sys,,
