CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
19,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\cmd.exe,AppCompatCache,2013-08-22 10:03:31.8493081
20,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\poweron-vm-default.bat,AppCompatCache,2020-03-30 22:45:52.0000000
21,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\vds.exe,AppCompatCache,2014-03-21 18:49:03.7667473
22,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dfssvc.exe,AppCompatCache,2020-09-17 17:51:00.7743977
23,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wlms\wlms.exe,AppCompatCache,2014-03-21 18:27:35.7535476
24,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe,AppCompatCache,2020-03-30 22:28:44.0000000
25,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\vdsldr.exe,AppCompatCache,2013-08-22 11:20:21.5967932
26,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ismserv.exe,AppCompatCache,2020-09-17 17:50:55.2540163
27,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dns.exe,AppCompatCache,2020-09-17 17:51:20.4004249
28,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dfsrs.exe,AppCompatCache,2020-09-17 17:51:00.5184218
29,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe,AppCompatCache,2020-09-17 17:50:56.7710896
30,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\spoolsv.exe,AppCompatCache,2013-08-22 09:10:12.2465167
31,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dwm.exe,AppCompatCache,2014-03-21 18:49:31.8761228
32,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\lsass.exe,AppCompatCache,2013-08-22 13:25:35.7998969
33,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\services.exe,AppCompatCache,2013-08-22 13:25:40.7853341
34,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\rundll32.exe,AppCompatCache,2013-08-22 11:03:41.8766734
35,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\WerFault.exe,AppCompatCache,2014-03-21 18:49:25.4542456
36,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wermgr.exe,AppCompatCache,2014-03-21 18:49:25.5167647
37,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\notepad.exe,AppCompatCache,2013-08-22 11:00:12.5919275
38,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,AppCompatCache,2013-08-10 00:54:18.6087974
39,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,AppCompatCache,2013-08-10 00:41:20.4322501
40,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\Microsoft.NET\Framework\v4.0.30319\ngentask.exe,AppCompatCache,2013-08-10 00:54:18.6400505
41,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe,AppCompatCache,2013-08-10 00:41:20.4947554
42,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\aitagent.exe,AppCompatCache,2014-03-21 18:49:05.0011184
43,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wsmprovhost.exe,AppCompatCache,2013-08-22 11:03:07.1078714
44,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\mmc.exe,AppCompatCache,2013-08-22 11:01:45.9442062
45,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\schtasks.exe,AppCompatCache,2013-08-22 10:42:55.2739565
46,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wsqmcons.exe,AppCompatCache,2014-03-21 18:49:24.7354964
47,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\control.exe,AppCompatCache,2013-08-22 11:03:56.5186362
48,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\netdom.exe,AppCompatCache,2013-08-22 11:21:27.2590428
49,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\runonce.exe,AppCompatCache,2013-08-22 11:01:31.9429274
50,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\SystemPropertiesComputerName.exe,AppCompatCache,2013-08-22 11:03:14.9992174
51,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\PING.EXE,AppCompatCache,2013-08-22 10:02:58.0478261
52,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,AppCompatCache,2013-08-22 10:59:47.5740159
53,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\makecab.exe,AppCompatCache,2013-08-22 11:32:20.9593936
54,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ROUTE.EXE,AppCompatCache,2013-08-22 09:53:49.7251070
55,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ipconfig.exe,AppCompatCache,2013-08-22 09:53:02.7367350
56,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\sdiagnhost.exe,AppCompatCache,2013-08-22 11:20:16.9869974
57,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\msdt.exe,AppCompatCache,2013-08-22 10:24:48.9671052
