CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
147,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Temp\{4783019D-2688-4F2E-9217-B3A34418E977}\MpSigStub.exe,AppCompatCache,2018-04-25 20:04:11.1560000
148,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\UpdatePlatform.exe,AppCompatCache,2018-04-25 20:04:10.2657884
149,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxApp_38.38.14002.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-04-25 20:00:00.4335836
150,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGameOverlay_1.26.6001.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2018-04-25 20:00:00.8086119
151,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta.exe,AppCompatCache,2018-04-25 20:03:05.0158408
152,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Base.exe,AppCompatCache,2018-04-25 20:03:05.7189941
153,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\Microsoft Silverlight\5.1.50907.0\Silverlight.Configuration.exe,AppCompatCache,2017-05-04 06:02:02.0000000
154,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\MpSigStub.exe,AppCompatCache,2018-04-25 20:03:03.2501927
155,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Engine.exe,AppCompatCache,2018-04-25 20:03:03.7345862
156,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\MpSigStub.exe,AppCompatCache,2018-04-25 20:03:03.2501927
157,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\rundll32.exe,AppCompatCache,2018-04-11 23:34:59.3402026
158,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,c:\Windows\syswow64\MsiExec.exe,AppCompatCache,2018-04-11 23:34:55.0742588
159,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\IEUser\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,AppCompatCache,2018-04-25 20:03:43.5473808
