BatchKeyPath,BatchValueName,Name,Description,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
ROOT\ControlSet001\Services,None,vmictimesync,"@%systemroot%\system32\icsvc.dll,-402","@%systemroot%\system32\icsvc.dll,-401",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,SeChangeNotifyPrivilege SeSystemtimePrivilege SeCreateGlobalPrivilege
ROOT\ControlSet001\Services,None,vmicvmsession,"@%systemroot%\system32\icsvc.dll,-902","@%systemroot%\system32\icsvc.dll,-901",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege SeBackupPrivilege SeRestorePrivilege SeDebugPrivilege SeImpersonatePrivilege SeTcbPrivilege SeIncreaseQuotaPrivilege SeAssignPrimaryTokenPrivilege
ROOT\ControlSet001\Services,None,vmicvss,"@%systemroot%\system32\icsvcext.dll,-502","@%systemroot%\system32\icsvcext.dll,-501",Manual,Win32ShareProcess,2017-09-29 13:47:44.6844405,2017-09-29 13:47:03.7907388,,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,,SeChangeNotifyPrivilege SeBackupPrivilege
ROOT\ControlSet001\Services,None,vnvdimm,,"@vnvdimm.inf,%vnvdimm.SvcDesc%;Microsoft virtual NVDIMM device driver",Manual,KernelDriver,2017-09-29 13:46:18.2871271,,,\SystemRoot\System32\drivers\vnvdimm.sys,,
ROOT\ControlSet001\Services,None,volmgr,,"@volmgr.inf,%volmgr_svcdesc%;Volume Manager Driver",Boot,KernelDriver,2018-03-27 21:45:39.6196611,,System Bus Extender,System32\drivers\volmgr.sys,,
ROOT\ControlSet001\Services,None,volmgrx,"@%SystemRoot%\system32\drivers\volmgrx.sys,-101","@%SystemRoot%\system32\drivers\volmgrx.sys,-100",Boot,KernelDriver,2017-09-29 13:47:44.6844405,,System Bus Extender,System32\drivers\volmgrx.sys,,
ROOT\ControlSet001\Services,None,volsnap,"@%SystemRoot%\system32\drivers\volsnap.sys,-101","@%SystemRoot%\system32\drivers\volsnap.sys,-100",Boot,KernelDriver,2018-03-27 21:45:40.3071850,,,System32\drivers\volsnap.sys,,
ROOT\ControlSet001\Services,None,volume,,"@volume.inf,%VolumeServiceDesc%;Volume driver",Boot,KernelDriver,2018-03-27 21:45:40.3071850,,,System32\drivers\volume.sys,,
ROOT\ControlSet001\Services,None,vpci,,"@wvpci.inf,%vpci.SVCDESC%;Microsoft Hyper-V Virtual PCI Bus",Manual,KernelDriver,2018-03-27 09:55:48.4485779,,System Bus Extender,\SystemRoot\System32\drivers\vpci.sys,,
ROOT\ControlSet001\Services,None,vsmraid,,,Boot,KernelDriver,2018-03-27 12:11:29.6794612,2017-09-29 13:46:13.1617140,SCSI Miniport,System32\drivers\vsmraid.sys,,
