Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,SecurityDescriptor,Author
3,,{56478235-C914-438B-85CA-52568369A023},,\Microsoft\Windows\TextServicesFramework\MsCtfMonitor,2018-03-27 12:11:54.5249890,2018-03-27 09:19:59.0866726,2018-03-27 09:19:59.1648003,0,0,"$(@%systemRoot%\system32\MsCtfMonitor.dll,-1000)","$(@%systemRoot%\system32\MsCtfMonitor.dll,-1001)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FR;;;BU),
3,,{568AC0B6-44BB-4D3E-B7CB-D4649085FAB7},,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Optimization,2018-03-27 12:11:56.1789259,,,0,0,"$(@%systemroot%\system32\TieringEngineService.exe,-601)","$(@%systemroot%\system32\TieringEngineService.exe,-603)",D:AI(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;LS)(A;;FR;;;AU),"$(@%systemroot%\system32\TieringEngineService.exe,-600)"
3,,{569538E5-354B-4206-BE67-47DAD594A707},,\Microsoft\Windows\Shell\IndexerAutomaticMaintenance,2018-03-27 12:11:56.2101778,,,0,0,"$(@%systemroot%\system32\srchadmin.dll,-1901)","$(@%systemroot%\system32\srchadmin.dll,-1902)",D:(A;;FA;;;SY)(A;;FA;;;LS)(A;;FR;;;BA),"$(@%systemroot%\system32\srchadmin.dll,-1901)"
3,,{57B14E59-8805-4BF3-B1F8-E86B92973ABF},,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319,2018-03-27 12:11:56.2258022,,,0,0,,,D:(A;OICI;FA;;;BA)(A;OICI;FA;;;SY)(A;OICI;GR;;;AU)(A;;FRFX;;;LS),
3,,{5810571C-1162-4627-BE06-95F3CCAF7821},,\Microsoft\Windows\Shell\CreateObjectTask,2018-03-27 12:11:56.2414281,2018-03-27 09:20:00.2585886,,0,0,"$(@%SystemRoot%\system32\shell32.dll,-14349)","$(@%SystemRoot%\system32\shell32.dll,-14350)",D:(A;;FA;;;SY)(A;;FRFX;;;IU),"$(@%SystemRoot%\system32\shell32.dll,-14349)"
3,,{5A201377-91EE-4904-B2C6-9F7D7456A03F},,\Microsoft\Windows\Device Information\Device,2018-03-27 12:11:56.2726796,2018-03-27 12:13:27.5443783,2018-03-27 12:13:38.0035606,0,0,,,D:(A;;GA;;;BA)(A;;GA;;;SY)(A;;FRFX;;;LS),
3,,{5B3610B8-EB8F-483D-9D5D-EFB6075BE647},,\Microsoft\Windows\CertificateServicesClient\UserTask,2018-03-27 12:11:54.5718661,2018-03-27 09:19:59.2116774,2018-03-27 09:19:59.6648175,0,0,"$(@%SystemRoot%\system32\dimsjob.dll,-100)","$(@%SystemRoot%\system32\dimsjob.dll,-102)",D:P(A;;FA;;;BA)(A;;FA;;;SY)(A;;FR;;;IU),"$(@%SystemRoot%\system32\dimsjob.dll,-101)"
3,,{5C020530-D866-421B-B15E-7EB9C7FA4D3B},,\Microsoft\Windows\DiskCleanup\SilentCleanup,2018-03-27 12:11:56.3039315,,,0,0,"$(@%systemroot%\system32\cleanmgr.exe,-1300)","$(@%systemroot%\system32\cleanmgr.exe,-1301)",D:AI(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;AU),"$(@%systemroot%\system32\cleanmgr.exe,-1300)"
3,,{5F5BF124-A1B2-4BEB-8C6B-5AD2F2D1C3DB},,\Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser,2018-03-27 12:11:56.3195590,,,0,0,"$(@%SystemRoot%\system32\MbaeParserTask.exe,-1901)","$(@%SystemRoot%\system32\MbaeParserTask.exe,-1903)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;AU),"$(@%SystemRoot%\system32\MbaeParserTask.exe,-1902)"
3,,{61BAF05A-8050-481F-9368-9B62A53BC9C5},,\microsoft\windows\applicationdata\appuriverifierdaily,2018-03-27 12:11:56.3195590,,,0,0,"$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10005)","$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10002)",D:(A;;FA;;;SY)(A;;FRFX;;;BA)(A;;FRFX;;;AU)(A;;FRFX;;;IU),"$(@%systemroot%\system32\AppHostRegistrationVerifier.exe,-10004)"
3,,{62378FC3-69C0-4B92-B72B-7652D823ABDE},,\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem,2018-03-27 12:11:56.3508067,,,0,0,"$(@%systemRoot%\system32\energytask.dll,-601)","$(@%systemRoot%\system32\energytask.dll,-602)",D:(A;OICI;FA;;;BA)(A;OICI;FA;;;SY)(A;OICI;GR;;;AU)(A;;FRFX;;;LS),"$(@%systemRoot%\system32\energytask.dll,-600)"
3,,{650751B8-0586-401C-95FF-65523D62D989},,\Microsoft\Windows\UpdateOrchestrator\Schedule Scan,2018-03-27 12:11:56.3976849,,,0,0,"$(@%systemRoot%\system32\usocore.dll,-104)","$(@%systemRoot%\system32\usocore.dll,-105)",D:P(A;;FA;;;SY)(A;;FRFX;;;LS)(A;;FRFX;;;BA),"$(@%systemRoot%\system32\usocore.dll,-103)"
