Name,BatchKeyPath,Description,BatchValueName,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
Ntfs,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Manual,FileSystemDriver,2015-09-13 04:18:01.5625000,,FileSystem,,,
ntrigdigi,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,N-trig HID Tablet Driver,Disabled,KernelDriver,2015-08-24 06:51:54.6562500,,Extended Base,\SystemRoot\system32\drivers\ntrigdigi.sys,,
Null,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,System,KernelDriver,2015-09-13 04:18:01.5625000,,Base,,,
nvraid,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,"NVIDIA nForce RAID Driver   ",Disabled,KernelDriver,2015-08-24 06:51:55.1718750,,System Bus Extender,\SystemRoot\system32\drivers\nvraid.sys,,
nvstor,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:53.4687500,2008-01-19 11:37:29.7779428,SCSI Miniport,\SystemRoot\system32\drivers\nvstor.sys,,
nv_agp,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,NVIDIA nForce AGP Bus Filter,Manual,KernelDriver,2008-01-19 11:37:29.7779428,,PnP Filter,\SystemRoot\system32\drivers\nv_agp.sys,,
ohci1394,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,NEC FireWarden OHCI Compliant IEEE 1394 Host Controller,Disabled,KernelDriver,2015-08-24 06:51:54.2500000,,,\SystemRoot\system32\drivers\ohci1394.sys,,
Parport,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,Parallel port driver,Manual,KernelDriver,2015-09-13 04:18:04.3125000,,Parallel arbitrator,system32\DRIVERS\parport.sys,,
partmgr,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,Disk class filter driver that auctions out partitions to volume managers,None,Partition Manager,Boot,KernelDriver,2015-09-13 04:18:01.6093750,2008-01-19 11:37:29.7779428,Boot Bus Extender,System32\drivers\partmgr.sys,,
Parvdm,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Automatic,KernelDriver,2015-09-13 04:18:01.5625000,2008-01-19 11:37:29.7779428,Extended Base,system32\DRIVERS\parvdm.sys,,
pci,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,PCI Bus Driver,Boot,KernelDriver,2015-09-13 04:18:01.5781250,,Boot Bus Extender,system32\drivers\pci.sys,,
pciide,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:54.2656250,,System Bus Extender,\SystemRoot\system32\drivers\pciide.sys,,
pcmcia,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,KernelDriver,2015-08-24 06:51:55.2656250,,System Bus Extender,\SystemRoot\system32\drivers\pcmcia.sys,,
PEAUTH,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,PEAUTH,Automatic,KernelDriver,2015-09-13 04:18:01.5625000,,,system32\drivers\peauth.sys,,
PerfDisk,CMI-CreateHive{701CAAB6-CF4C-4D21-9AE7-9CDDB0AC7AF8}\ControlSet001\Services,,None,,Disabled,Adapter,2008-01-19 11:37:29.7779428,,,,,
